name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"Band Incline Chest Fly","Band","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/57401201-Band-Incline-Chest-Fly_Chest-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/57401201-Band-Incline-Chest-Fly_Chest-FIX_.png"
"Criss Cross Knee Tuck","Body weight","obliques, rectus_abdominis","iliopsoas","https://apilyfta.com/static/GymvisualMP4/71481201-Criss-Cross-Knee-Tuck-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/71481201-Criss-Cross-Knee-Tuck-(male)_Waist_GREEN.png"
"Frog Squat","Body weight","quadriceps","gluteus_maximus, hamstrings, teres_major","https://apilyfta.com/static/GymvisualMP4/04611201-Frog-Squat-(female)_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/04611101-Frog-Squat_Plyometrics_small.png"
"Side-to-Side Toe Touch","Body weight","soleus",,,"https://apilyfta.com/static/GymvisualPNG/32131101-Side-to-Side-Toe-Touch-(male)_small.png"
"Weighted Squat Jump with Plate","Weighted","quadriceps","hip_adductors, biceps, brachialis, brachioradialis, deltoid_lateral, hamstrings, iliopsoas, rectus_abdominis, soleus, teres_major, teres_minor, tibias",,"https://apilyfta.com/static/GymvisualPNG/38761101-Weighted-Squat-Jump-with-Plate_Thighs_small.png"
"Standing Chest Stretch","Body weight","chest_clavicular_head","deltoid_anterior",,"https://apilyfta.com/static/GymvisualPNG/17831101-Standing-Chest-Stretch-(with-Training-Wall-Bars)_Chest_small.png"
"Power Sled High Pull","Power Sled","brachialis, brachioradialis, latissimus_dorsi","hip_adductors, quadriceps, teres_major",,"https://apilyfta.com/static/GymvisualPNG/29091101-Power-Sled-High-Pull_Shoulders_small.png"
"Roll Recumbent Hip External Rotator and Hip Extensor Stretch","Roll",,"gluteus_maximus","https://apilyfta.com/static/GymvisualMP4/35671201-Roll-Recumbent-Hip-External-Rotator-and-Hip-Extens.mp4","https://apilyfta.com/static/GymvisualPNG/35671101-Roll-Recumbent-Hip-External-Rotator-and-Hip-Extensor-Stretch-(CrossedLeg)-(male)_Hips_small.png"
"Dumbbell Incline One Arm Front Raise with Chest Support","Dumbbell","deltoids","chest_clavicular_head",,"https://apilyfta.com/static/GymvisualPNG/40711101-Dumbbell-Incline-One-Arm-Front-Raise-with-Chest-Support_Shoulder_small.png"
"Dumbbell Standing Hip Hugger","Dumbbell","deltoid_lateral, deltoids","trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/66041201-Dumbbell-Standing-Hip-Hugger-(male)_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/66041201-Dumbbell-Standing-Hip-Hugger-(male)_Upper-Arms__GREEN.png"
"Cat pose","Body weight",,"serratus_anterior","https://apilyfta.com/static/GymvisualMP4/09421201-Cat-pose-(female)_Stretching_.mp4","https://apilyfta.com/static/GymvisualPNG/09421101-Cat-pose_small.png"
"Resistance Band Bent Leg Kickback","Resistance Band","gluteus_maximus","hamstrings","https://apilyfta.com/static/GymvisualMP4/21491201-Resistance-Band-Bent-Leg-Kickback-(Kneeling)-(fema.mp4","https://apilyfta.com/static/GymvisualPNG/21491101-Resistance-Band-Bent-Leg-Kickback-(Kneeling)_Hips_small.png"
"Sled Lying Calf Press","Sled machine","gastrocnemius","soleus","https://apilyfta.com/static/GymvisualMP4/23341201-Sled-Lying-Calf-Press_Calves-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/23341101-Sled-Lying-Calf-Press_Calves_small.png"
"Shoulder - Adduction - Articulations","Body weight","hip_adductors, latissimus_dorsi, teres_major",,"https://apilyfta.com/static/GymvisualMP4/27761201-Shoulder---Adduction.mp4","https://apilyfta.com/static/GymvisualPNG/27761101-Shoulder---Adduction_Articulations_small.png"
"Barbell Zercher Carry","Barbell","gluteus_maximus","brachioradialis, iliopsoas","https://apilyfta.com/static/GymvisualMP4/29151201-Barbell-Zercher-Carry_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/29151101-Barbell-Zercher-Carry_Thighs_small.png"
"Seal Push up","Body weight","triceps","biceps, wrist_flexors",,"https://apilyfta.com/static/GymvisualPNG/29441101-Seal-Push-up_Back_small.png"
"Cross Arms Push-up","Body weight","triceps","biceps, brachialis, brachioradialis, deltoid_anterior, chest_clavicular_head","https://apilyfta.com/static/GymvisualMP4/37841201-Cross-Arms-Push-up_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/37841101-Cross-Arms-Push-up_Upper-Arms_small.png"
"Suspender Arm Curl","Suspension","biceps","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/59261201-Suspender-Arm-Curl-(male)_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/59261201-Suspender-Arm-Curl-(male)_Upper-Arms__GREEN.png"
"Lying extension","Barbell","triceps",,"https://apilyfta.com/static/GymvisualMP4/00571201-Barbell-Lying-extension_Upper-arms.mp4","https://apilyfta.com/static/GymvisualPNG/00571101-Barbell-Lying-extension_Upper-arms_small.png"
"Seated Close grip Behind Neck Triceps Extension","Barbell","triceps","deltoid_anterior, soleus",,"https://apilyfta.com/static/GymvisualPNG/17181101-Barbell-Seated-Close-grip-Behind-Neck-Triceps-Extension_Upper-Arms_small.png"
"Ceiling Look Stretch","Body weight","quadriceps",,"https://apilyfta.com/static/GymvisualMP4/02501201-Ceiling-Look-Stretch-(female)_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/02501101-Ceiling-Look-Stretch_Thighs_small.png"
"Dumbbell Over Bench Neutral Wrist Curl","Dumbbell","brachioradialis",,,"https://apilyfta.com/static/GymvisualPNG/03651101-Dumbbell-Over-Bench-Neutral-Wrist-Curl_Forearms_small.png"
"High Knee Twist","Body weight","obliques","rectus_abdominis","https://apilyfta.com/static/GymvisualMP4/04801201-High-Knee-Twist-(female)_Cardio_.mp4","https://apilyfta.com/static/GymvisualPNG/04801101-High-Knee-Twist_Cardio_small.png"
"High knees butt kicks","Body weight","hamstrings","hip_adductors, brachioradialis, deltoid_lateral, sartorius",,"https://apilyfta.com/static/GymvisualPNG/04811101-High-knees-butt-kicks_Cardio_small.png"
"Hamstrings","Body weight","hamstrings, hip_adductors",,,
"Roll Hip Lat Stretch","Roll","gluteus_maximus, latissimus_dorsi","tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/22051201-Roll-Hip-Lat-Stretch_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/22051101-Roll-Hip-Lat-Stretch_Hips_small.png"
"Ab Roller Crunch","Body weight","rectus_abdominis","obliques","https://apilyfta.com/static/GymvisualMP4/22691201-Ab-Roller-Crunch_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/22691101-Ab-Roller-Crunch_Waist_small.png"
"Twisted Leg Raise","Body weight","rectus_abdominis","brachioradialis, sartorius","https://apilyfta.com/static/GymvisualMP4/28011201-Twisted-Leg-Raise-(female)_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/28011101-Twisted-Leg-Raise-(female)_Waist_small.png"
"Standing Side Bend","Body weight","obliques","iliopsoas","https://apilyfta.com/static/GymvisualMP4/32531201-Standing-Side-Bend-(female)_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/32531101-Standing-Side-Bend-(female)_Waist_small.png"
"Kettlebell Deadlift","Kettlebell","gluteus_maximus, quadriceps","hamstrings, soleus","https://apilyfta.com/static/GymvisualMP4/39021201-Kettlebell-deadlift-(female)_Hips.mp4","https://apilyfta.com/static/GymvisualPNG/39021101-Kettlebell-deadlift-(female)_Hips_small.png"
"Lying Crunch (straight legs) (male)","Body weight","obliques, rectus_abdominis","iliopsoas, rectus_abdominis","https://apilyfta.com/static/GymvisualMP4/60051201-Lying-Crunch-(straight-legs)-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/60051101-Lying-Crunch-(straight-legs)-(male)_Waist_small.png"
"Dumbbell Larsen Press (male)","Dumbbell","chest_clavicular_head","triceps",,"https://apilyfta.com/static/GymvisualPNG/62721101-Dumbbell-Larsen-Press-(male)_Chest_small.png"
"Lying Tuck-up Knee Tap","Body weight","obliques, rectus_abdominis","iliopsoas, quadriceps","https://apilyfta.com/static/GymvisualMP4/63931201-Lying-Tuck-Up-Knee-Tap-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/63931201-Lying-Tuck-Up-Knee-Tap-(male)_Waist__GREEN.png"
"Lying Lifting","Barbell","gluteus_maximus","gastrocnemius, sartorius, soleus",,"https://apilyfta.com/static/GymvisualPNG/00581101-Barbell-Lying-Lifting-(on-hip)_Hips_small.png"
"Incline Reverse Grip Push-Up","Body weight",,"biceps, brachialis, brachioradialis, deltoid_anterior, chest_clavicular_head",,"https://apilyfta.com/static/GymvisualPNG/04941101-Incline-Reverse-Grip-Push-Up_chest_small.png"
"Barbell Pullover To Press","Barbell","latissimus_dorsi","brachialis, brachioradialis, deltoids, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/00221201-Barbell-Pullover-To-Press_Back.mp4","https://apilyfta.com/static/GymvisualPNG/00221101-Barball-Pullover-To-Press_Back_small.png"
"Kettlebell Arnold Press","Kettlebell","deltoid_anterior","deltoid_lateral, serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/05231201-Kettlebell-Arnold-Press_Shoulder.mp4","https://apilyfta.com/static/GymvisualPNG/05231101-Kettlebell-Arnold-Press_Shoulders_small.png"
"Standing Hamstring Stretch","Body weight","hamstrings",,"https://apilyfta.com/static/GymvisualMP4/07891201-Standing-Hamstring-Stretch-(female)_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/07891101-Standing-Hamstring-Stretch_Thighs_small.png"
"Lever Hip Thrust With Resistance Band","Leverage machine, Resistance Band","gluteus_maximus","hamstrings, quadriceps",,"https://apilyfta.com/static/GymvisualPNG/21471101-Lever-Hip-Thrust-With-Resistance-Band_Hips_small.png"
"Push-up - Start position","Body weight",,,,"https://apilyfta.com/static/GymvisualPNG/23501101-Push-up---Start-position-(WRONG-RIGHT)_small.png"
"Incline Push-Up (on bench) (male)","Body weight","chest_clavicular_head","deltoid_anterior, triceps",,"https://apilyfta.com/static/GymvisualPNG/56371101-Incline-Push-Up-(on-bench)-(male)_Chest_small.png"
"Weighted Plate Standing Around the World (female)","Weighted","deltoid_anterior, deltoid_lateral, deltoids","obliques, serratus_anterior, trapezius, trapezius, trapezius",,
"Pike Push-up from deficit","Body weight","deltoid_anterior, deltoid_lateral, chest_clavicular_head","serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/77481201-Pike-Push-up-from-deficit-(male)_Shoulders_.mp4","https://apilyfta.com/static/GymvisualPNG/77481201-Pike-Push-up-from-deficit-(male)_Shoulders_GREEN.png"
"One Arm Chin-Up","Body weight","latissimus_dorsi","biceps, brachialis, brachioradialis, deltoids, infraspinatus, teres_major, teres_minor, trapezius, trapezius",,"https://apilyfta.com/static/GymvisualPNG/06381101-One-Arm-Chin-Up_back_small.png"
"Lever Seated One Leg Squat","Leverage machine","quadriceps","gluteus_maximus",,"https://apilyfta.com/static/GymvisualPNG/15731101-Lever-Seated-One-Leg-Squat_Thighs_small.png"
"EZ Barbell Close grip Curl","EZ Barbell","biceps","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/24991201-EZ-Barbell-Close-grip-Curl-(female)_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/24991101-EZ-Barbell-Close-grip-Curl-(female)_Upper-Arms_small.png"
"Ski Step","Body weight","deltoids, quadriceps, tensor_fasciae_femoris, hip_adductors, serratus_anterior",,,"https://apilyfta.com/static/GymvisualPNG/36711101-Ski-Step_Cardio_small.png"
"Side Lying Leg Raise","Body weight","gluteus_maximus",,,"https://apilyfta.com/static/GymvisualPNG/40511101-Side-Lying-Leg-Raise_Hips_small.png"
"Bodyweight Lying Prone Ys","Body weight","deltoid_lateral, deltoids, trapezius, trapezius","infraspinatus","https://apilyfta.com/static/GymvisualMP4/58001201-Bodyweight-Lying-Prone-Ys_Back_.mp4","https://apilyfta.com/static/GymvisualPNG/58001101-Bodyweight-Lying-Prone-Ys_Back_small.png"
"Reach forward upper back stretch","Body weight",,,,"https://apilyfta.com/static/GymvisualPNG/17941101-Reach-forward-upper-back-stretch_Back_small.png"
"Standing Wide Leg Adductor Stretch","Body weight","hip_adductors",,"https://apilyfta.com/static/GymvisualMP4/19041201-Standing-Wide-Leg-Adductor-Stretch-(female)_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/19041101-Standing-Wide-Leg-Adductor-Stretch_Hips_small.png"
"Single Lean Back Quadriceps Stretch","Body weight","quadriceps","hamstrings, serratus_anterior","https://apilyfta.com/static/GymvisualMP4/19551201-Single-Lean-Back-Quadriceps-Stretch_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/19551101-Single-Lean-Back-Quadriceps-Stretch_Thighs_small.png"
"Reverse Shoulder Stretch","Body weight",,,,"https://apilyfta.com/static/GymvisualPNG/19711101-Reverse-Shoulder-Stretch_Shoulders_small.png"
"Preacher Curl - Wrists","EZ Barbell","triceps",,"https://apilyfta.com/static/GymvisualMP4/23481201-Preacher-Curl---Wrists-(WRONG-RIGHT)_.mp4","https://apilyfta.com/static/GymvisualPNG/23481101-Preacher-Curl---Wrists-(WRONG-RIGHT)_small.png"
"Plank Jump","Body weight","rectus_abdominis, serratus_anterior","teres_major, wrist_flexors",,"https://apilyfta.com/static/GymvisualPNG/27921101-Plank-Jump-(female)_Cardio_small.png"
"Battling Ropes Alternating Waves with Kneeling Get-Up","Battling Rope","gastrocnemius, quadriceps, soleus","brachialis, gluteus_maximus, teres_minor","https://apilyfta.com/static/GymvisualMP4/41311201-Battling-Ropes-Alternating-Waves-with-Kneeling-Get.mp4","https://apilyfta.com/static/GymvisualPNG/41311101-Battling-Ropes-Alternating-Waves-with-Kneeling-Get-Up-(male)_Cardio_small.png"
"Boxing Right Uppercut","Body weight","brachialis","hip_adductors, biceps, triceps",,"https://apilyfta.com/static/GymvisualPNG/45931101-Boxing-Right-Uppercut-(with-partner)_Fighting_small.png"
"Ring Chest Fly","Body weight","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/49221201-Ring-Chest-Fly_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/49221101-Ring-Chest-Fly_Chest_small.png"
"Weighted Seated Leg Raise on Floor","Weighted","iliopsoas, rectus_abdominis","obliques, quadriceps, sartorius, tensor_fasciae_femoris",,"https://apilyfta.com/static/GymvisualPNG/50231101-Weighted-Seated-Leg-Raise-on-Floor_Waist_small.png"
"Wall Walks","Body weight","deltoid_anterior, deltoid_lateral, deltoids, triceps","brachialis, obliques, chest_clavicular_head, rectus_abdominis, serratus_anterior","https://apilyfta.com/static/GymvisualMP4/52341201-Wall-Walks_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/52341101-Wall-Walks_Chest_small.png"
"Barbell Seated Good morning","Barbell","gluteus_maximus","hamstrings","https://apilyfta.com/static/GymvisualMP4/00901201-Barbell-Seated-Good-morning_Hips.mp4","https://apilyfta.com/static/GymvisualPNG/00901101-Barbell-Seated-Good-morning_Hips_small.png"
"Suspension Squat","Suspension","quadriceps","gluteus_maximus, soleus","https://apilyfta.com/static/GymvisualMP4/11431201-Suspender-Squat-(female)_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/11431101-Suspender-Squat_Thighs_small.png"
"Knee Tuck Jump","Body weight","quadriceps","gluteus_maximus, teres_minor","https://apilyfta.com/static/GymvisualMP4/15701201-Knee-Tuck-Jump_Plyometrics_.mp4","https://apilyfta.com/static/GymvisualPNG/15701101-Knee-Tuck-Jump_Plyometric_small.png"
"Standing Hamstring and Calf Stretch with Strap","Rope","hamstrings, soleus","gastrocnemius","https://apilyfta.com/static/GymvisualMP4/15991201-Standing-Hamstring-and-Calf-Stretch-with-Starp_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/15991101-Standing-Hamstring-and-Calf-Stretch-with-Starp_Thighs_small.png"
"Assisted Lying Hamstring Stretch","Assisted","hamstrings","hip_adductors, quadriceps","https://apilyfta.com/static/GymvisualMP4/19231201-Assisted-Lying-Hamstring-Stretch_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/19231101-Assisted-Lying-Hamstring-Stretch_Thighs_small.png"
"Finger Extension Stretch","Body weight","wrist_extensors","wrist_flexors",,"https://apilyfta.com/static/GymvisualPNG/20951101-Finger-Extension-Stretch_Hands_small.png"
"Hip - Abduction - Articulations","Body weight",,"gluteus_maximus, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/27671201-Hip---Abduction.mp4","https://apilyfta.com/static/GymvisualPNG/27671101-Hip---Abduction_Articulations_small.png"
"Dumbbell Overhead Carry","Dumbbell","deltoid_anterior, triceps","trapezius",,"https://apilyfta.com/static/GymvisualPNG/29131101-Dumbbell-Overhead-Carry_Thighs_small.png"
"Oblique V-up on Floor","Body weight","iliopsoas, obliques, rectus_abdominis","hip_adductors, sartorius, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/35151201-Oblique-V-up-on-Floor_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/35151101-Oblique-V-up-on-Floor_Waist_small.png"
"Backward Abdominal Stretch","Body weight","rectus_abdominis","soleus","https://apilyfta.com/static/GymvisualMP4/40061201-Backward-Abdominal-Stretch_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/40061301-Backward-Abdominal-Stretch_Waist_720_small.png"
"Inverted Wide Row","Body weight","latissimus_dorsi, teres_major, trapezius, trapezius","brachialis, brachioradialis, deltoids",,"https://apilyfta.com/static/GymvisualPNG/47701101-Inverted-Wide-Row_Back-FIX_small.png"
"Medicine Ball Rotary Throw","Medicine Ball","obliques, rectus_abdominis","deltoid_anterior, deltoid_lateral, latissimus_dorsi","https://apilyfta.com/static/GymvisualMP4/75341201-Medicine-Ball-Rotary-Throw-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/75341201-Medicine-Ball-Rotary-Throw-(male)_Waist_GREEN.png"
"Side Plank Raise","Body weight","obliques","deltoid_lateral, gluteus_maximus, quadriceps","https://apilyfta.com/static/GymvisualMP4/77531201-Side-Plank-Raise-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/77531201-Side-Plank-Raise-(male)_Waist_GREEN.png"
"Band standing crunch","Band","rectus_abdominis","obliques","https://apilyfta.com/static/GymvisualMP4/10051201-Band-standing-crunch_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/10051101-Band-standing-crunch_Waist_small.png"
"Band straight leg deadlift","Band",,"gluteus_maximus, hamstrings","https://apilyfta.com/static/GymvisualMP4/101001201-Russian-Twist-(beginner-level)-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/10101101-Band-straight-leg-deadlift_Back_small.png"
"Finger Flexor Stretch","Body weight","wrist_flexors","wrist_extensors","https://apilyfta.com/static/GymvisualMP4/18261201-Finger-Flexor-Stretch_Forearms_.mp4","https://apilyfta.com/static/GymvisualPNG/18261101-Finger-Flexor-Stretch_Forearms_small.png"
"Quarter Sit-up","Body weight","rectus_abdominis","obliques","https://apilyfta.com/static/GymvisualMP4/32011201-Quarter-Sit-up-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/32011101-Quarter-Sit-up-(male)_small.png"
"Single Leg Box Jump","Body weight","gastrocnemius, gluteus_maximus, hamstrings, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/51661201-Single-Leg-Box-Jump_Plyometrics_.mp4","https://apilyfta.com/static/GymvisualPNG/51661101-Single-Leg-Box-Jump_Plyometrics_small.png"
"Resistance Band Side Walk Squat (female)","Resistance Band","gluteus_maximus, quadriceps","hamstrings, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/67441201-Resistance-Band-Side-Walk-Squat-(female)_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/67441101-Resistance-Band-Side-Walk-Squat-(female)_Hips_small.png"
"Side-to-Side Jump Rope","Rope",,"hip_adductors, gluteus_maximus","https://apilyfta.com/static/GymvisualMP4/36751201-Side-to-Side-Jump-Rope-(male)_Cardio_.mp4","https://apilyfta.com/static/GymvisualPNG/36751101-Side-to-Side-Jump-Rope-(male)_Cardio_small.png"
"Weighted Seated Supination","Weighted","brachioradialis",,,"https://apilyfta.com/static/GymvisualPNG/42311101-Weighted-Seated-Supination_Forearms_small.png"
"Kettlebell Step-Up","Kettlebell","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/44401201-Kettlebell-Step-up-(VERSION-2)_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/44401101-Kettlebell-Step-up-(VERSION-2)_Thighs_small.png"
"Cheat Curl","Body weight","biceps","brachialis, brachioradialis, deltoid_anterior, trapezius",,"https://apilyfta.com/static/GymvisualPNG/56961101-Cheat-Curl_Upper-Arms_small.png"
"Lateral Ladder Drill (male)","Body weight","quadriceps","hip_adductors, gluteus_maximus, hamstrings",,"https://apilyfta.com/static/GymvisualPNG/59731101-Lateral-Ladder-Drill-(male)_Plyometrics_small.png"
"Reverse Lunge High Knee Forward Lunge (male)","Body weight","gluteus_maximus, hamstrings, quadriceps","hip_adductors, gastrocnemius, iliopsoas, soleus","https://apilyfta.com/static/GymvisualMP4/74121201-Reverse-Lunge-High-Knee-Forward-Lunge-(male)_Thigh.mp4","https://apilyfta.com/static/GymvisualPNG/74121101-Reverse-Lunge-High-Knee-Forward-Lunge-(male)_Thighs_small.png"
"Dumbbell Reverse grip Biceps Curl","Dumbbell","biceps, brachialis","brachioradialis, wrist_flexors","https://apilyfta.com/static/GymvisualMP4/70001201-Dumbbell-Reverse-grip-Biceps-Curl-(female)_Forearm.mp4","https://apilyfta.com/static/GymvisualPNG/70001201-Dumbbell-Reverse-grip-Biceps-Curl-(female)_Forearm_GREEN.png"
"Lying 6 Inch Hold","Body weight","rectus_abdominis","iliopsoas, obliques, quadriceps","https://apilyfta.com/static/GymvisualMP4/72481201-Lying-6-Inch-Hold-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/72481201-Lying-6-Inch-Hold-(male)_Waist_GREEN.png"
"Smith Squat to Bench","Smith machine","quadriceps","tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/15961201-Smith-Squat-to-Bench_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/15961101-Smith-Squat-to-Bench_Thighs_small.png"
"Cable Kneeling Triceps Extension","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/01761201-Cable-Kneeling-Triceps-Extension_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/01761101-Cable-Kneeling-Triceps-Extension_Upper-Arms_small.png"
"Band single leg split squat","Band","gluteus_maximus","quadriceps, soleus","https://apilyfta.com/static/GymvisualMP4/10011201-Band-single-leg-split-squat_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/10011101-Band-single-leg-split-squat_Hips_small.png"
"Dumbbell Incline One Arm Press","Dumbbell","chest_clavicular_head","deltoid_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/12811201-Dumbbell-Incline-One-Arm-Press_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/12811101-Dumbbell-Incline-One-Arm-Press_Chest_small.png"
"Barbell Lateral Lunge","Barbell","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/14101201-Barbell-Lateral-Lunge_Hips.mp4","https://apilyfta.com/static/GymvisualPNG/14101101-Barbell-Lateral-Lunge_Hips_small.png"
"Barbell Pin Presses","Barbell","triceps","chest_clavicular_head, deltoid_anterior",,"https://apilyfta.com/static/GymvisualPNG/17511101-Barbell-Pin-Presses_Upper-Arms_small.png"
"StrongMan Sandbag Walk","Weighted","gluteus_maximus, tensor_fasciae_femoris","serratus_anterior",,"https://apilyfta.com/static/GymvisualPNG/27121101-StrongMan-Sandbag-Walk_Weightlifting_small.png"
"Kneeling Plank Tap Shoulder","Body weight","rectus_abdominis, tensor_fasciae_femoris","serratus_anterior, deltoids",,"https://apilyfta.com/static/GymvisualPNG/32391101-Kneeling-Plank-Tap-Shoulder-(male)_Waist_small.png"
"Kneeling Push up to Child Pose","Body weight","rectus_abdominis","quadriceps","https://apilyfta.com/static/GymvisualMP4/32651201-Kneeling-Push-up-to-Child-Pose-(female)_Chest.mp4","https://apilyfta.com/static/GymvisualPNG/32651101-Kneeling-Push-up-to-Child-Pose-(female)_Chest_small.png"
"Kettlebell Good Morning","Kettlebell","hamstrings","gluteus_maximus","https://apilyfta.com/static/GymvisualMP4/48171201-Kettlebell-Good-Morning_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/48171101-Kettlebell-Good-Morning_Hips_small.png"
"Knee In and Out Crunch","Body weight","obliques, rectus_abdominis","iliopsoas","https://apilyfta.com/static/GymvisualMP4/77521201-Knee-In-and-Out-Crunch-(male)_Waist_.mp4","https://apilyfta.com/static/GymvisualPNG/77521201-Knee-In-and-Out-Crunch-(male)_Waist_GREEN.png"
"Smith Machine Reverse Decline Close Grip Bench Press","Smith machine","triceps","wrist_extensors, wrist_flexors",,"https://apilyfta.com/static/GymvisualPNG/16261101-Smith-Machine-Reverse-Decline-Close-Grip-Bench-Press_Chest_small.png"
"Cable twisting overhead press","Cable","deltoid_anterior","deltoid_lateral, gastrocnemius, gluteus_maximus, obliques, chest_clavicular_head, quadriceps, serratus_anterior, soleus, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/12091201-Cable-twisting-overhead-press_shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/12091101-Cable-twisting-overhead-press_shoulders_small.png"
"Sitting Side Reach Stretch","Body weight","obliques","rectus_abdominis, trapezius","https://apilyfta.com/static/GymvisualMP4/18061201-Sitting-Side-Reach-Stretch_Back_.mp4","https://apilyfta.com/static/GymvisualPNG/18061101-Sitting-Side-Reach-Stretch_Back_small.png"
"Forearm Pronator Stretch","Body weight","wrist_flexors",,,"https://apilyfta.com/static/GymvisualPNG/18151101-Forearm-Pronator-Stretch_Forearms_small.png"
"Cable Straight Legs Pull Through","Cable","gluteus_maximus","hamstrings","https://apilyfta.com/static/GymvisualMP4/23241201-Cable-Straight-Legs-Pull-Through-(with-rope)-(female).mp4","https://apilyfta.com/static/GymvisualPNG/23241101-Cable-Straight-Legs-Pull-Through-(with-rope)-(female)_small.png"
"Tire Flip","Body weight","gluteus_maximus, iliopsoas","quadriceps",,"https://apilyfta.com/static/GymvisualPNG/24591101-Tire-Flip_Thighs_small.png"
"Hip - Extension - Articulations","Body weight","gluteus_maximus, hamstrings",,"https://apilyfta.com/static/GymvisualMP4/27691201-Hip---Extension.mp4","https://apilyfta.com/static/GymvisualPNG/27691101-Hip---Extension_Articulations_small.png"
"Shoulder - Extension - Articulations","Body weight","deltoids","deltoid_lateral, rectus_abdominis","https://apilyfta.com/static/GymvisualMP4/27771201-Shoulder---Extension.mp4","https://apilyfta.com/static/GymvisualPNG/27771101-Shoulder---Extension_Articulations_small.png"
"Dumbbell Full Swing","Dumbbell","deltoid_anterior, gluteus_maximus, hamstrings","deltoid_lateral, chest_clavicular_head, quadriceps, serratus_anterior, soleus","https://apilyfta.com/static/GymvisualMP4/33971201-Dumbbell-Full-Swing_Hips.mp4","https://apilyfta.com/static/GymvisualPNG/33971301-Dumbbell-Full-Swing_Hips_720_small.png"
"Rotational Push-Up","Body weight","obliques, chest_clavicular_head","deltoid_anterior, rectus_abdominis, triceps","https://apilyfta.com/static/GymvisualMP4/35531201-Rotational-Push-Up_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/35531101-Rotational-Push-Up_Chest_small.png"
